Rgp;Rgp_lib;Dut;Dut_lib;Dut_sigle;Id Série ou type de Bac;Série ou type de Bac;Id Âge au bac;Âge au bac;Id Sexe;Sexe;Id Mention au Bac;Mention au Bac;Année de cohorte des données sur le passage entre L1 et L2;Effectif de néobacheliers de la cohorte;Passage en 2ème année de DUT en 1 an;Redoublement en 1ère année de DUT;Passage en 2ème année de DUT en 2 ans;Passage en 2ème année de DUT en 1 ou 2 ans;Année de cohorte des données sur la réussite en licence;Effectif de néobacheliers de la cohorte;Obtention du DUT en 2 ans;Obtention du DUT en 3 ans;Obtention du DUT en 2 ou 3 ans
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;3;BAC S;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;58.0;15.0;18.0;16.0;31;2013;58.0;16.0;18.0;34.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;B;Bien;2014;22.0;4.0;3.0;2.0;6;2013;22.0;7.0;7.0;14.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;3.0;0.0;0.0;0.0;0;2013;3.0;0.0;1.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;PEC;Packaging, emballage et conditionnement;PEC;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;1.0;2.0;1.0;1.0;3;2013;1.0;0.0;0.0;0.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;4;BAC STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;7.0;4.0;1.0;0.0;4;2013;7.0;4.0;1.0;5.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;6;BAC professionnel;R4;Non pris en compte;1;Homme;B;Bien;2014;8.0;7.0;1.0;1.0;8;2013;8.0;6.0;2.0;8.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;6;BAC professionnel;R4;Non pris en compte;1;Homme;D;Passable premier groupe;2014;23.0;3.0;2.0;1.0;4;2013;23.0;7.0;2.0;9.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;6;BAC professionnel;R4;Non pris en compte;2;Femme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;1;BAC L;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;2;BAC ES;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;3.0;2.0;1.0;1.0;3;2013;3.0;;;
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;3;BAC S;R1;En retard d'un an;1;Homme;B;Bien;2014;6.0;;;;;2013;6.0;6.0;0.0;6.0
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;3;BAC S;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;58.0;27.0;5.0;4.0;31;2013;58.0;35.0;8.0;43.0
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;3;BAC S;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;1.0;3.0;0.0;0.0;3;2013;1.0;1.0;0.0;1.0
EAI;Électronique, automatique, informatique;RT;Réseaux et télécommunications;R&T;6;BAC professionnel;R4;Non pris en compte;2;Femme;Q;Inconnue;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
SIMC;Sciences industrielles, matériaux, contrôle;SGM;Sciences et génie des matériaux;SGM;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;STID;Statistique et informatique décisionnelle;STID;2;BAC ES;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;8.0;8.0;0.0;0.0;8;2013;8.0;5.0;0.0;5.0
AGSC;Administration, gestion, statistique, commerce;STID;Statistique et informatique décisionnelle;STID;3;BAC S;R1;En retard d'un an;1;Homme;A;Très bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;STID;Statistique et informatique décisionnelle;STID;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;4.0;1.0;0.0;0.0;1;2013;4.0;0.0;1.0;1.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;1;BAC L;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;4.0;1.0;0.0;0.0;1;2013;4.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;2;BAC ES;R1;En retard d'un an;2;Femme;B;Bien;2014;27.0;23.0;0.0;0.0;23;2013;27.0;22.0;4.0;26.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;3;BAC S;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;12.0;6.0;0.0;0.0;6;2013;12.0;12.0;0.0;12.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;3;BAC S;R1;En retard d'un an;2;Femme;A;Très bien;2014;1.0;0.0;1.0;1.0;1;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;3;BAC S;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;15.0;2.0;0.0;0.0;2;2013;15.0;11.0;2.0;13.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;17.0;17.0;0.0;0.0;17;2013;17.0;13.0;3.0;16.0
AGSC;Administration, gestion, statistique, commerce;TC;Techniques de commercialisation;TC;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;2.0;1.0;0.0;0.0;1;2013;2.0;1.0;0.0;1.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;5.0;5.0;1.0;1.0;6;2013;5.0;3.0;1.0;4.0
CES;Construction, énergie, sécurité;GCCD;Génie civil - Construction durable;GCCD;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;0.0;1.0;1.0
CES;Construction, énergie, sécurité;GCCD;Génie civil - Construction durable;GCCD;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;19.0;7.0;3.0;1.0;8;2013;19.0;6.0;4.0;10.0
CBPI;Chimie, biologie, procédés industriels;GCGP;Génie chimique - Génie des procédés;GCGP;3;BAC S;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;15.0;8.0;2.0;2.0;10;2013;15.0;8.0;4.0;12.0
CBPI;Chimie, biologie, procédés industriels;GCGP;Génie chimique - Génie des procédés;GCGP;3;BAC S;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;5.0;5.0;0.0;0.0;5;2013;5.0;;;
CBPI;Chimie, biologie, procédés industriels;GCGP;Génie chimique - Génie des procédés;GCGP;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;3.0;0.0;2.0;2.0;2;2013;3.0;0.0;0.0;0.0
CBPI;Chimie, biologie, procédés industriels;GCGP;Génie chimique - Génie des procédés;GCGP;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;0.0;0.0;0.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;1;BAC L;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;1;BAC L;R1;En retard d'un an;2;Femme;C;Assez bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;2;BAC ES;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;64.0;50.0;9.0;8.0;58;2013;64.0;31.0;12.0;43.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;2;BAC ES;R1;En retard d'un an;2;Femme;Q;Inconnue;2014;4.0;4.0;1.0;0.0;4;2013;4.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;3;BAC S;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;173.0;188.0;9.0;8.0;196;2013;173.0;148.0;12.0;160.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;3;BAC S;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;3;BAC S;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;1;BAC L;R1;En retard d'un an;1;Homme;C;Assez bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;1;BAC L;R1;En retard d'un an;2;Femme;C;Assez bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;2;BAC ES;R1;En retard d'un an;1;Homme;C;Assez bien;2014;23.0;9.0;1.0;1.0;10;2013;23.0;17.0;3.0;20.0
CM;Communication et médiation;CS;Carrières sociales;CS;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;0.0;0.0;0.0
CM;Communication et médiation;CS;Carrières sociales;CS;6;BAC professionnel;R4;Non pris en compte;1;Homme;A;Très bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;1;BAC L;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;4.0;3.0;0.0;0.0;3;2013;4.0;4.0;0.0;4.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;1;BAC L;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;12.0;11.0;0.0;0.0;11;2013;12.0;11.0;0.0;11.0
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;A;Très bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;6;BAC professionnel;R4;Non pris en compte;1;Homme;C;Assez bien;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
CBPI;Chimie, biologie, procédés industriels;CHIMIE;Chimie;;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;10.0;0.0;3.0;3.0;3;2013;10.0;0.0;2.0;2.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;3;BAC S;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;8.0;3.0;0.0;0.0;3;2013;8.0;7.0;0.0;7.0
AGSC;Administration, gestion, statistique, commerce;CJ;Carrières juridiques;CJ;3;BAC S;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;2.0;2.0;0.0;0.0;2;2013;2.0;;;
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;2;BAC ES;R1;En retard d'un an;2;Femme;C;Assez bien;2014;12.0;16.0;1.0;1.0;17;2013;12.0;12.0;0.0;12.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;3;BAC S;R2;En retard de plus d'un an;2;Femme;P;Passable deuxième groupe;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;2;BAC ES;R1;En retard d'un an;1;Homme;A;Très bien;2014;2.0;1.0;1.0;1.0;2;2013;2.0;;;
CM;Communication et médiation;CS;Carrières sociales;CS;3;BAC S;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;CS;Carrières sociales;CS;3;BAC S;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;2.0;6.0;0.0;0.0;6;2013;2.0;2.0;0.0;2.0
CM;Communication et médiation;CS;Carrières sociales;CS;3;BAC S;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;4.0;2.0;0.0;0.0;2;2013;4.0;4.0;0.0;4.0
CM;Communication et médiation;CS;Carrières sociales;CS;3;BAC S;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;2.0;;;;;2013;2.0;1.0;1.0;2.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;137.0;102.0;14.0;13.0;115;2013;137.0;82.0;26.0;108.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;6.0;0.0;0.0;0.0;0;2013;6.0;0.0;0.0;0.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;6;BAC professionnel;R4;Non pris en compte;1;Homme;Q;Inconnue;2014;2.0;;;;;2013;2.0;0.0;0.0;0.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;3.0;1.0;0.0;0.0;1;2013;3.0;2.0;1.0;3.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;6;BAC professionnel;R4;Non pris en compte;1;Homme;C;Assez bien;2014;24.0;2.0;6.0;3.0;5;2013;24.0;7.0;3.0;10.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;2;BAC ES;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;538.0;466.0;8.0;7.0;473;2013;538.0;497.0;10.0;507.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;2;BAC ES;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;1.0;1.0;1.0;1.0;2;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;14.0;49.0;1.0;1.0;50;2013;14.0;11.0;1.0;12.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;4;BAC STMG;R1;En retard d'un an;1;Homme;A;Très bien;2014;6.0;6.0;0.0;0.0;6;2013;6.0;5.0;0.0;5.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;1.0;0.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;3.0;0.0;2.0;1.0;1;2013;3.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;6;BAC professionnel;R4;Non pris en compte;1;Homme;A;Très bien;2014;2.0;1.0;1.0;1.0;2;2013;2.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;6;BAC professionnel;R4;Non pris en compte;2;Femme;B;Bien;2014;1.0;0.0;1.0;1.0;1;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;2;BAC ES;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;76.0;64.0;6.0;5.0;69;2013;76.0;54.0;10.0;64.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;2;BAC ES;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;0.0;0.0;0.0;0;2013;1.0;0.0;0.0;0.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;4;BAC STMG;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;12.0;8.0;5.0;3.0;11;2013;12.0;4.0;0.0;4.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;4;BAC STMG;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;1.0;0.0;0.0;0.0;0;2013;1.0;0.0;1.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;1.0;0.0;0.0;0.0;0;2013;1.0;;;
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;8.0;2.0;1.0;1.0;3;2013;8.0;7.0;1.0;8.0
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;2;BAC ES;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;3.0;2.0;1.0;1.0;3;2013;3.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;6;BAC professionnel;R4;Non pris en compte;2;Femme;B;Bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
CES;Construction, énergie, sécurité;GTE;Génie thermique et énergie;GTE;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;1.0;0.0;0.0;0.0;0;2013;1.0;0.0;0.0;0.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;2;BAC ES;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;0.0;1.0;1.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;3;BAC S;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;1.0;2.0;0.0;0.0;2;2013;1.0;0.0;0.0;0.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;61.0;29.0;10.0;9.0;38;2013;61.0;37.0;7.0;44.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;33.0;11.0;9.0;6.0;17;2013;33.0;6.0;10.0;16.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;13.0;4.0;4.0;3.0;7;2013;13.0;5.0;3.0;8.0
CES;Construction, énergie, sécurité;HSE;Hygiène, sécurité, environnement;HSE;6;BAC professionnel;R4;Non pris en compte;2;Femme;B;Bien;2014;5.0;2.0;0.0;0.0;2;2013;5.0;4.0;0.0;4.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;2;BAC ES;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
EAI;Électronique, automatique, informatique;INFO;Informatique;;2;BAC ES;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;0.0;0.0;0.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;3;BAC S;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
EAI;Électronique, automatique, informatique;INFO;Informatique;;6;BAC professionnel;R4;Non pris en compte;1;Homme;B;Bien;2014;6.0;4.0;0.0;0.0;4;2013;6.0;5.0;0.0;5.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;1;BAC L;R0;A l'heure ou en avance;1;Homme;D;Passable premier groupe;2014;9.0;9.0;0.0;0.0;9;2013;9.0;5.0;1.0;6.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;4;BAC STMG;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;3.0;1.0;0.0;0.0;1;2013;3.0;3.0;0.0;3.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;INFOCOM;Information-Communication;INFOCOM;6;BAC professionnel;R4;Non pris en compte;2;Femme;Q;Inconnue;2014;1.0;0.0;1.0;0.0;0;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;2;BAC ES;R0;A l'heure ou en avance;2;Femme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1;2013;1.0;0.0;0.0;0.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;3;BAC S;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;47.0;32.0;2.0;1.0;33;2013;47.0;44.0;2.0;46.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;3;BAC S;R1;En retard d'un an;1;Homme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;3.0;5.0;0.0;0.0;5;2013;3.0;1.0;1.0;2.0
CM;Communication et médiation;MMI;Métiers du multimédia et de l'internet;MMI;4;BAC STMG;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;1.0;0.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;3;BAC S;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;42.0;41.0;2.0;2.0;43;2013;42.0;40.0;0.0;40.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;3;BAC S;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;13.0;10.0;8.0;8.0;18;2013;13.0;5.0;4.0;9.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;0.0;0.0;0.0;0;2013;1.0;0.0;0.0;0.0
SIMC;Sciences industrielles, matériaux, contrôle;MP;Mesures physiques;MP;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;3.0;1.0;1.0;1.0;2;2013;3.0;1.0;1.0;2.0
SIMC;Sciences industrielles, matériaux, contrôle;PEC;Packaging, emballage et conditionnement;PEC;3;BAC S;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;10.0;11.0;0.0;0.0;11;2013;10.0;10.0;0.0;10.0
SIMC;Sciences industrielles, matériaux, contrôle;PEC;Packaging, emballage et conditionnement;PEC;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;6.0;6.0;3.0;3.0;9;2013;6.0;4.0;1.0;5.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;2;BAC ES;R1;En retard d'un an;2;Femme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;1.0;0.0;1.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;3;BAC S;R0;A l'heure ou en avance;1;Homme;Q;Inconnue;2014;2.0;1.0;0.0;0.0;1;2013;2.0;1.0;1.0;2.0
SIMC;Sciences industrielles, matériaux, contrôle;QLIO;Qualité, logistique industrielle et organisation;QLIO;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;1.0;4.0;1.0;1.0;5;2013;1.0;1.0;0.0;1.0
